generation,best_fitness,mean_fitness,median_fitness
0,0.4167624150150261,0.26340047338736583,0.24167675458326873
1,0.49259331881707846,0.31673953181416686,0.2969969097992282
2,0.49259331881707846,0.373868863966271,0.35915082903348283
3,0.5267511859591075,0.4439477920865511,0.43506693601796553
4,0.5306354586718596,0.48204397528233,0.4839148206917734
5,0.6716589017678584,0.5063907800273877,0.4902276299353091
6,0.6716589017678584,0.5063907800273877,0.4902276299353091
7,0.6716589017678584,0.5063907800273877,0.4902276299353091
8,0.6716589017678584,0.5086182212328832,0.49184552093366474
9,0.6716589017678584,0.515162934328226,0.49259331881707846
10,0.6716589017678584,0.515162934328226,0.49259331881707846
11,0.6716589017678584,0.515162934328226,0.49259331881707846
12,0.6716589017678584,0.515162934328226,0.49259331881707846
13,0.6716589017678584,0.5164397482643797,0.4950995624445431
14,0.6716589017678584,0.5201841954600944,0.49720314889379524
15,0.6716589017678584,0.5201841954600944,0.49720314889379524
16,0.6716589017678584,0.5268223476942246,0.5079585592455449
17,0.6716589017678584,0.5268223476942246,0.5079585592455449
18,0.6716589017678584,0.5268223476942246,0.5079585592455449
19,0.6716589017678584,0.5268223476942246,0.5079585592455449
20,0.6716589017678584,0.5268223476942246,0.5079585592455449
21,0.6716589017678584,0.5268223476942246,0.5079585592455449
22,0.6716589017678584,0.5269582594966862,0.5079585592455449
23,0.6716589017678584,0.5273200386887037,0.5079585592455449
24,0.6716589017678584,0.5273200386887037,0.5079585592455449
25,0.6716589017678584,0.5273200386887037,0.5079585592455449
26,0.6716589017678584,0.5330137685950822,0.5172730038098803
27,0.6716589017678584,0.536665706551839,0.5223213161955613
28,0.6716589017678584,0.5392432172490935,0.5256738196525855
29,0.6716589017678584,0.5437165265485902,0.5267511859591075
30,0.6716589017678584,0.5469651949896677,0.5285572154664966
