generation,best_fitness,mean_fitness,median_fitness
0,0.8835700428535879,0.7544425022563078,0.719653139711989
1,1.1338403809135016,0.7944981081880625,0.7854994329838662
2,1.1338403809135016,0.8190898505601997,0.8333026868155866
3,1.1338403809135016,0.8600946120890982,0.8357667890218674
4,1.1338403809135016,0.870404204076166,0.8357667890218674
5,1.1338403809135016,0.8860769774133178,0.8562739306683051
6,1.1338403809135016,0.9340941870251288,0.9221202239401824
7,1.2524181324296606,1.0007373547270935,0.9904306194183404
8,1.2524181324296606,1.053569582043324,1.0382338732500607
9,1.2524181324296606,1.1021366448967163,1.106544268728219
10,1.3505658972973202,1.1628083486026892,1.154347522559939
11,1.3505658972973202,1.1892414398816002,1.1866489941557212
12,1.3505658972973202,1.2078134513713457,1.2021507763916595
13,1.3505658972973202,1.2269619725471512,1.231910990783223
14,1.3505658972973202,1.2560663047604796,1.2524181324296606
15,1.353029999503601,1.2722355479374439,1.2524952874275985
16,1.353029999503601,1.2832514234600316,1.2729252740760983
17,1.353029999503601,1.2914455847174928,1.2909683135162553
18,1.3915030255922576,1.3044131618786359,1.3002213862613812
19,1.3915030255922576,1.3077897824303995,1.3002213862613812
20,1.3915030255922576,1.3105160258496908,1.3002213862613812
21,1.4871866882536362,1.326216582028599,1.3027626434655997
22,1.4871866882536362,1.3343152653977268,1.3256567323203807
23,1.4871866882536362,1.3475302679372232,1.3412356695542564
24,1.4871866882536362,1.3619356790523824,1.3505658972973202
25,1.4871866882536362,1.3703859610893112,1.3685317817395393
26,1.4871866882536362,1.378432728173483,1.3685317817395393
27,1.4871866882536362,1.3883938076926667,1.3890389233859768
28,1.4871866882536362,1.3920178536227843,1.3890389233859768
29,1.4871866882536362,1.3961906263972061,1.3915030255922576
30,1.4871866882536362,1.4046866523192563,1.4070819628261337
