generation,best_fitness,mean_fitness,median_fitness
0,1.382210681645051,1.117771867481703,1.064125467666769
1,1.4504086282480668,1.2651883476160843,1.2843630067390261
2,1.4728671017115444,1.3410081694610685,1.331401324313238
3,1.479749803411113,1.3833869794239562,1.3538597977767157
4,1.479749803411113,1.4075188011460398,1.382210681645051
5,1.479749803411113,1.4451103108541363,1.4504086282480668
6,1.479749803411113,1.4603000457040463,1.4728671017115444
7,1.479749803411113,1.4699886361542225,1.4728671017115444
8,1.479749803411113,1.471510005963318,1.4728671017115444
9,1.5081006872794482,1.477413346720614,1.4728671017115444
10,1.5081006872794482,1.4779639628565797,1.479749803411113
11,1.5081006872794482,1.4788983998990717,1.479749803411113
12,1.5470373851056525,1.4850523432688376,1.479749803411113
13,1.6083526300090998,1.49047176440074,1.479749803411113
14,1.6083526300090998,1.491790022349758,1.479749803411113
15,1.6083526300090998,1.5011089685301773,1.489345326074271
16,1.6313250765451968,1.5117670480749061,1.489345326074271
17,1.6313250765451968,1.5120423561428888,1.489345326074271
18,1.6313250765451968,1.516571655133558,1.5081006872794482
19,1.6478033009079232,1.530099698023259,1.5236764590433576
20,1.6478033009079232,1.549374423890232,1.540154683406084
21,1.6478033009079232,1.5582801941317683,1.540154683406084
22,1.6478033009079232,1.5697568754967035,1.5470373851056525
23,1.6478033009079232,1.5871886224358411,1.567469708819522
24,1.6478033009079232,1.5943647933006468,1.5805157192133839
25,1.6478033009079232,1.6013904390675346,1.6083526300090998
26,1.6478033009079232,1.6180279180859978,1.6313250765451968
27,1.6478033009079232,1.6281948092942173,1.6313250765451968
28,1.6478033009079232,1.6335778158297807,1.6313250765451968
29,1.669998788391624,1.6405318433099416,1.6478033009079232
30,1.669998788391624,1.6414301822484805,1.6478033009079232
